pais;continente
Africa do Sul;Africa
Alemanha;Europa
Angola;Africa
Antigua e Barbuda;America do Norte
Antilhas Holandesas;America do Norte
Argentina;America do Sul
Aruba;America do Norte
Australia;Oceania
Bahamas;America do Norte
Bangladesh;Asia
Barbados;America do Norte
Belgica;Europa
Belice;America Central
Benin;Africa
Bermudas;America do Norte
Bolivia;America do Sul
Bosnia-Herzegovina;Europa
Bulgaria;Europa
Cabo Verde;Africa
Camaroes;Africa
Canada;America do Norte
Catar;Asia
Cayman, Ilhas;America do Norte
Chile;America do Sul
China;Asia
Chipre;Asia
Cingapura;Asia
Colombia;America do Sul
Coreia do Sul;Asia
Costa Rica;America Central
Cuba;America do Norte
Curacao;America do Norte
Dinamarca;Europa
Dominica;America do Norte
El Salvador;America Central
Emirados Arabes Unidos;Asia
Equador;America do Sul
Espanha;Europa
Estados Unidos;America do Norte
Estonia;Europa
Falkland (Malvinas);America do Sul
Filipinas;Asia
Finlandia;Europa
Franca;Europa
Gana;Africa
Gibraltar;Europa
Granada;America do Norte
Grecia;Europa
Guatemala;America Central
Guiana;America do Sul
Guine Equatorial;Africa
Guine-Bissau;Africa
Haiti;America do Norte
Honduras;America Central
Hong Kong;Asia
Hungria;Europa
Ilha de Man;Europa
India;Asia
Iraque;Asia
Irlanda;Europa
Islandia;Europa
Italia;Europa
Japao;Asia
Jordania;Asia
Letonia;Europa
Libano;Asia
Liberia;Africa
Luxemburgo;Europa
Maldivas;Asia
Malta;Europa
Marshall, Ilhas;Oceania
Montenegro;Europa
Mexico;America do Norte
Nicaragua;America Central
Nigeria;Africa
Noruega;Europa
Nova Zelandia;Oceania
Paises Baixos;Europa
Panama;America Central
Paraguai;America do Sul
Peru;America do Sul
Polonia;Europa
Porto Rico;America do Norte
Portugal;Europa
Quenia;Africa
Reino Unido;Europa
Republica Dominicana;America do Norte
Republica Tcheca;Europa
Russia;Europa/Asia
Serra Leoa;Africa
Singapura;Asia
Suecia;Europa
Suica;Europa
Suriname;America do Sul
Tailandia;Asia
Taiwan (Formosa);Asia
Trinidade e Tobago;America do Norte
Turquia;Europa/Asia
Uruguai;America do Sul
Vanuatu;Oceania
Venezuela;America do Sul
Vietna;Asia
Afeganistao;Asia
Anguilla;America do Norte
Arabia Saudita;Asia
Austria;Europa
Barein;Asia
Belize;America Central
Brasil;America do Sul
Cocos (Keeling), Ilhas;Oceania
Comores;Africa
Congo;Africa
Costa do Marfim;Africa
Croacia;Europa
Eslovaca, Republica;Europa
Guiana Francesa;America do Sul
Guine Bissau;Africa
Ilhas Virgens;America do Norte
Indonesia;Asia
Ira;Asia
Jamaica;America do Norte
Macau;Asia
Malasia;Asia
Malavi;Africa
Martinica;America do Norte
Mauritania;Africa
Mocambique;Africa
Namibia;Africa
Nova Caledonia;Oceania
Oma;Asia
Palau;Oceania
Pitcairn;Oceania
Sao Cristovao e Nevis;America do Norte
Sao Tome e Principe;Africa
Sao Vicente e Granadinas;America do Norte
Senegal;Africa
Suazilandia;Africa
Tanzania;Africa
Togo;Africa
Toquelau;Oceania
Trinidade Tobago;America do Norte
Tunisia;Africa
Tuvalu;Oceania
